Name	Set	ImageFile	Faction	Type	Subtype	Tech	ATK	DEF	BOM	Effect
Germanic Warrior	HW1	GermanicWarrior	Germanic	Unit	Melee	0	3	4	-	-
Lusitanian Javelineer	HW1	LusitanianJavelineer	Germanic	Unit	Melee	0	3	3	1	Lusitanian Javelineer may only bombard once per game.
Swiss Mercenary	HW1	SwissMercenary	Germanic	Unit	Melee	2	5	5	-	Swiss Mercenary gets +3 STR when battling Cavalry units.
Viking Berserker	HW1	VikingBerserker	Germanic	Unit	Melee	2	6	4	-	If a Viking Berserker’s attack would cause you to conquer a City, that City’s controller discards their hand.
Welsh Longbowman	HW1	WelshLongbowman	Germanic	Unit	Archer	2	4	7	2	-
English Siege Tower	HW1	EnglishSiegeTower	Germanic	Unit	Siege	2	2	2	-	Whenever English Siege Tower attacks, you may exhaust any number of Melee units you control. Siege Tower gets +X ATK till end of turn, where X is the combined ATK of all Melee units exhausted this way.
Dutch Schutterij	HW1	DutchSchutterij	Germanic	Unit	Gunpowder	4	7	11	-	Dutch Schutterij gets +2 DEF when defending a City with a Barricade.
Holy Roman Landsknecht	HW1	HolyRomanLandsknecht	Germanic	Unit	Gunpowder Melee	4	9	9	-	Holy Roman Landsknecht gets +3 STR when battling Cavalry units. Ignore all bonuses that units fighting Holy Roman Landsknecht would gain from battling Melee or Gunpowder units.
English Cannon	HW1	EnglishCannon	Germanic	Unit	Gunpowder Siege	4	2	2	5	Z: Destroy target Barricade.
English Redcoat	HW1	EnglishRedcoat	Germanic	Unit	Gunpowder	6	14	14	-	-
US Minuteman	HW1	USMinuteman	Germanic	Unit	Gunpowder	6	13	13	-	Guerrilla
Swedish Artillery	HW1	SwedishArtillery	Germanic	Unit	Gunpowder Siege	6	2	2	7	Z: Destroy target Barricade.
British Proto Tank	HW1	BritishProtoTank	Germanic	Unit	Armor	7	20	20	-	Immune to Melee, Archer, and Cavalry units. When this unit attacks, it can’t be unexhausted during your next turn.
US Bazooka	HW1	USBazooka	Germanic	Unit	Gunpowder	8	23	22	-	+10 STR when battling Armor units.
German Panzer	HW1	GermanPanzer	Germanic	Unit	Armor	8	30	25	-	Charge. Immune to Melee, Archer, and Cavalry units.
German Howitzer	HW1	GermanHowitzer	Germanic	Unit	Gunpowder Siege	8	2	2	12	Z: Destroy target Barricade.
Viking Longship	HW1	VikingLongship	Germanic	Naval	Ship	1	2	2	-	If your opponent controls no Ships, Viking Longship can attack unoccupied Cities.
Dutch Schooner	HW1	DutchSchooner	Germanic	Naval	Ship	4	9	9	-	The first time Dutch Schooner attacks each turn, unexhaust it.
Dutch East Indiaman	HW1	DutchEastIndiaman	Germanic	Naval	Ship	5	12	12	5	+1 Hand Size
English Ship of the Line	HW1	EnglishShipoftheLine	Germanic	Naval	Ship	6	15	15	7	-
Dutch Threedecker	HW1	DutchThreedecker	Germanic	Naval	Ship	6	18	18	5	-
German U-Boat	HW1	GermanUBoat	Germanic	Naval	Submarine	7	20	20	-	German U-Boat can't be bombarded. +10 STR when battling Ship units.
US Aircraft Carrier	HW1	USAircraftCarrier	Germanic	Naval	Ship	8	25	25	-	You may place Planes on US Aircraft Carrier as if it were a City. +5 Str when defending.
German Attack Submarine	HW1	GermanAttackSubmarine	Germanic	Naval	Submarine	8	28	28	-	German Attack Submarine can't be bombarded. +10 STR when attacking.
German Fokker	HW1	GermanFokker	Germanic	Unit	Plane	7	20	20	10	German Fokker can't bombard Armor or Ship units.
British RAF Fighter	HW1	BritishRAFFighter	Germanic	Unit	Plane	8	25	25	10	British RAF Fighter can't bombard Armor or Ship units.
US B-17	HW1	USB17	Germanic	Unit	Plane	8	19	19	16	Z: Destroy target Barricade or Monument. US B-17 can't bombard Plane units.
Spartan Hoplite	HW1	SpartanHoplite	Latin	Unit	Melee	0	4	4	-	Spartan Hoplite gets +2 STR when battling Cavalry units.
Athenian Archer	HW1	AthenianArcher	Latin	Unit	Archer	0	2	4	1	-
Roman Legion	HW1	RomanLegion	Latin	Unit	Melee	1	5	5	-	-
Roman Ballista	HW1	RomanBallista	Latin	Unit	Siege	1	2	2	2	Roman Ballista can't bombard when battling against a Cavalry unit.
Frankish Paladin	HW1	FrankishPaladin	Latin	Unit	Melee	2	5	6	-	Frankish Paladin gets +2 DEF when battling non-Latin units.
Genoese Crossbowman	HW1	GenoeseCrossbowman	Latin	Unit	Archer	2	4	6	2	-
Byzantine Trebuchet	HW1	ByzantineTrebuchet	Latin	Unit	Siege	2	2	2	-	Z: Destroy target Barricade.
Byzantine Cataphract	HW1	ByzantineCataphract	Latin	Unit	Cavalry	2	6	5	-	Charge
Spanish Tercio	HW1	SpanishTercio	Latin	Unit	Gunpowder Melee	4	9	9	-	Spanish Tercio gets +3 STR when battling Cavalry units. Ignore all bonuses that units fighting Spanish Tercio would gain from battling Melee or Gunpowder units.
Spanish Conquistador	HW1	SpanishConquistador	Latin	Unit	Gunpowder Cavalry	4	8	8	-	Charge. Spanish Conquistador gets +3 STR when battling Tech 3 or lower units.
Portuguese Arquebusier	HW1	PortugueseArquebusier	Latin	Unit	Gunpowder	4	9	10	-	Portuguese Arquebusier gets +1 STR if you control more Ships than any other player.
French Cannon	HW1	FrenchCannon	Latin	Unit	Gunpowder Siege	4	2	2	5	Z: Destroy target Barricade.
Napoleonic Square	HW1	NapoleonicSquare	Latin	Unit	Gunpowder	6	13	14	-	Napoleonic Square gets +3 STR when battling Cavalry units.
Napoleonic Cuirassier	HW1	NapoleonicCuirassier	Latin	Unit	Gunpowder Cavalry	6	13	11	-	Charge. Ignore all bonuses that units fighting Napoleonic Cuirassier would gain from battling Cavalry units.
Argentine Gaucho	HW1	ArgentineGaucho	Latin	Unit	Gunpowder Cavalry	6	12	12	-	Charge. Guerilla. At the end of your turn, you may discard a card to return Argentine Gaucho to your hand.
French Modern Infantry	HW1	FrenchModernInfantry	Latin	Unit	Gunpowder	8	23	24	-	If French Modern Infantry would be destroyed, shuffle it into its owner’s deck instead.
Italian Tank	HW1	ItalianTank	Latin	Unit	Armor	8	28	24	-	At the beginning of your turn, flip a coin. If tails, destroy Italian Tank. Immune to Melee, Archer, and Cavalry units.
Athenian Trireme	HW1	AthenianTrireme	Latin	Naval	Ship	0	3	3	1	-
Roman Quinquereme	HW1	RomanQuinquereme	Latin	Naval	Ship	1	4	4	-	Destroy Roman Quinquereme: Destroy all Ships battling Roman Quinquereme with STR 8 or less.
Venetian Cog	HW1	VenetianCog	Latin	Naval	Ship	2	5	5	1	-
Byzantine Dromon	HW1	ByzantineDromon	Latin	Naval	Ship	2	8	8	-	-
Portuguese Caravel	HW1	PortugueseCaravel	Latin	Naval	Ship	3	9	9	2	Charge. When you deploy Portuguese Caravel, search your deck for a non-Latin City. Shuffle your deck and put that card on top of it.
Spanish Galleon	HW1	SpanishGalleon	Latin	Naval	Ship	4	12	12	6	-
Portuguese Frigate	HW1	PortugueseFrigate	Latin	Naval	Ship	6	15	15	7	-
French Ironclad	HW1	FrenchIronclad	Latin	Naval	Ship	7	21	21	-	-
Italian Battleship	HW1	ItalianBattleship	Latin	Naval	Ship	8	29	29	12	-
French Entente Fighter	HW1	FrenchEntenteFighter	Latin	Unit	Plane	7	20	20	9	French Entente Fighter can't bombard Armor or Ship units.
Italian Regia Aeronautica	HW1	ItalianRegiaAeronautica	Latin	Unit	Plane	8	24	24	10	Italian Regia Aeronautica can't bombard Armor or Ship units.
Slavic Footman	HW1	SlavicFootman	Slavic	Unit	Melee	0	3	3	-	-
Slavic Nomad	HW1	SlavicNomad	Slavic	Unit	Cavalry	0	4	2	-	-
Kievan Druzhyna	HW1	KievanDruzhyna	Slavic	Unit	Cavalry	2	6	4	-	Charge. Other non-Cavalry units in the same City as Kievan Druzhyna gain +1 DEF.
Bulgarian Konnik	HW1	BulgarianKonnik	Slavic	Unit	Cavalry	2	7	4	-	Charge
Bulgarian Catapult	HW1	BulgarianCatapult	Slavic	Unit	Siege	2	2	2	-	Z: Destroy target Barricade.
Hungarian Black Army	HW1	HungarianBlackArmy	Slavic	Unit	Gunpowder	3	9	9	-	-
Muscovite Pishal'niki	HW1	MuscovitePishalniki	Slavic	Unit	Gunpowder	4	10	10	-	-
Albanian Lezhe League	HW1	AlbanianLezheLeague	Slavic	Unit	Gunpowder	4	9	10	-	Albanian Lezhe League gets +2 DEF if the attacking player controls more Cities than you.
Hungarian Hussar	HW1	HungarianHussar	Slavic	Unit	Cavalry	4	8	7	-	Charge. Hungarian Hussar gets +4 STR when battling Cavalry units.
Polish Winged Hussar	HW1	PolishWingedHussar	Slavic	Unit	Gunpowder Cavalry	4	9	8	-	Charge
